NO,우선순위,K,lon,lat,시,구,커버리지,도로명주소
1,1,1,127.058973,37.56248502,서울특별시,동대문구,1.5km,서울특별시 동대문구 천호대로 361
2,1,2,127.058973,37.56248502,서울특별시,동대문구,1.5km,서울특별시 동대문구 천호대로 361
3,2,2,126.8608626,37.55797338,서울특별시,강서구,1.5km,서울특별시 강서구 양천로 556
4,1,3,127.0785766,37.49946173,서울특별시,강남구,1.5km,서울특별시 강남구 남부순환로 3183
5,2,3,127.058973,37.56248502,서울특별시,동대문구,1.5km,서울특별시 동대문구 천호대로 361
6,3,3,126.8608626,37.55797338,서울특별시,강서구,1.5km,서울특별시 강서구 양천로 556
7,1,4,127.0785766,37.49946173,서울특별시,강남구,1.5km,서울특별시 강남구 남부순환로 3183
8,2,4,126.9060274,37.57353209,서울특별시,서대문구,1.5km,서울특별시 서대문구 수색로 123
9,3,4,127.058973,37.56248502,서울특별시,동대문구,1.5km,서울특별시 동대문구 천호대로 361
10,4,4,126.8608626,37.55797338,서울특별시,강서구,1.5km,서울특별시 강서구 양천로 556
11,1,5,127.0785766,37.49946173,서울특별시,강남구,1.5km,서울특별시 강남구 남부순환로 3183
12,2,5,126.9060274,37.57353209,서울특별시,서대문구,1.5km,서울특별시 서대문구 수색로 123
13,3,5,126.8771776,37.50217699,서울특별시,구로구,1.5km,서울특별시 구로구 경인로55길 17
14,4,5,127.058973,37.56248502,서울특별시,동대문구,1.5km,서울특별시 동대문구 천호대로 361
15,5,5,126.8608626,37.55797338,서울특별시,강서구,1.5km,서울특별시 강서구 양천로 556
16,1,6,127.0785766,37.49946173,서울특별시,강남구,1.5km,서울특별시 강남구 남부순환로 3183
17,2,6,126.9060274,37.57353209,서울특별시,서대문구,1.5km,서울특별시 서대문구 수색로 123
18,3,6,126.8771776,37.50217699,서울특별시,구로구,1.5km,서울특별시 구로구 경인로55길 17
19,4,6,126.9022103,37.48427922,서울특별시,구로구,1.5km,서울특별시 구로구 시흥대로 573
20,5,6,127.058973,37.56248502,서울특별시,동대문구,1.5km,서울특별시 동대문구 천호대로 361
21,6,6,126.8608626,37.55797338,서울특별시,강서구,1.5km,서울특별시 강서구 양천로 556
22,1,7,127.1034226,37.50766,서울특별시,송파구,1.5km,서울특별시 송파구 백제고분로39길 40
23,2,7,127.0785766,37.49946173,서울특별시,강남구,1.5km,서울특별시 강남구 남부순환로 3183
24,3,7,126.9060274,37.57353209,서울특별시,서대문구,1.5km,서울특별시 서대문구 수색로 123
25,4,7,126.8771776,37.50217699,서울특별시,구로구,1.5km,서울특별시 구로구 경인로55길 17
26,5,7,126.9022103,37.48427922,서울특별시,구로구,1.5km,서울특별시 구로구 시흥대로 573
27,6,7,127.058973,37.56248502,서울특별시,동대문구,1.5km,서울특별시 동대문구 천호대로 361
28,7,7,126.8608626,37.55797338,서울특별시,강서구,1.5km,서울특별시 강서구 양천로 556
29,1,8,127.0668206,37.57603432,서울특별시,동대문구,1.5km,서울특별시 동대문구 한천로33길 15
30,2,8,127.1034226,37.50766,서울특별시,송파구,1.5km,서울특별시 송파구 백제고분로39길 40
31,3,8,127.0785766,37.49946173,서울특별시,강남구,1.5km,서울특별시 강남구 남부순환로 3183
32,4,8,126.9060274,37.57353209,서울특별시,서대문구,1.5km,서울특별시 서대문구 수색로 123
33,5,8,126.8771776,37.50217699,서울특별시,구로구,1.5km,서울특별시 구로구 경인로55길 17
34,6,8,126.9022103,37.48427922,서울특별시,구로구,1.5km,서울특별시 구로구 시흥대로 573
